"Shape","Possible?","Freeplay?","Simple Floating?","Multilayer Scaffolding?","Drop Through?"
"Cu----Cu:Cu--Cu--","true","true","false","false","false"
"Cu----Cu:--Cu--Cu","true","true","false","false","false"
"Cu----Cu:CuCuCu--","true","true","false","false","false"
"Cu----Cu:--CuCuCu","true","true","false","false","false"
"Cu----Cu:Cu--CuCu","true","true","false","false","false"
"Cu----Cu:CuCu--Cu","true","true","false","false","false"
"Cu----Cu:CuCuCuCu","true","true","false","false","false"
"Cu--Cu--:Cu------","true","true","false","false","false"
"Cu--Cu--:--Cu----","true","false","true","false","false"
"Cu--Cu--:----Cu--","true","true","false","false","false"
"Cu--Cu--:------Cu","true","false","true","false","false"
"Cu--Cu--:CuCu----","true","true","false","false","false"
"Cu--Cu--:--CuCu--","true","true","false","false","false"
"Cu--Cu--:----CuCu","true","true","false","false","false"
"Cu--Cu--:Cu----Cu","true","true","false","false","false"
"Cu--Cu--:Cu--Cu--","true","true","false","false","false"
"Cu--Cu--:--Cu--Cu","true","false","true","false","false"
"Cu--Cu--:CuCuCu--","true","true","false","false","false"
"Cu--Cu--:--CuCuCu","true","true","false","false","false"
"Cu--Cu--:Cu--CuCu","true","true","false","false","false"
"Cu--Cu--:CuCu--Cu","true","true","false","false","false"
"Cu--Cu--:CuCuCuCu","true","true","false","false","false"
"--Cu--Cu:Cu------","true","false","true","false","false"
"--Cu--Cu:--Cu----","true","true","false","false","false"
"--Cu--Cu:----Cu--","true","false","true","false","false"
"--Cu--Cu:------Cu","true","true","false","false","false"
"--Cu--Cu:CuCu----","true","true","false","false","false"
"--Cu--Cu:--CuCu--","true","true","false","false","false"
"--Cu--Cu:----CuCu","true","true","false","false","false"
"--Cu--Cu:Cu----Cu","true","true","false","false","false"
"--Cu--Cu:Cu--Cu--","true","false","true","false","false"
"--Cu--Cu:--Cu--Cu","true","true","false","false","false"
"--Cu--Cu:CuCuCu--","true","true","false","false","false"
"--Cu--Cu:--CuCuCu","true","true","false","false","false"
"--Cu--Cu:Cu--CuCu","true","true","false","false","false"
"--Cu--Cu:CuCu--Cu","true","true","false","false","false"
"--Cu--Cu:CuCuCuCu","true","true","false","false","false"
"CuCuCu--:Cu------","true","true","false","false","false"
"CuCuCu--:--Cu----","true","true","false","false","false"
"CuCuCu--:----Cu--","true","true","false","false","false"
"CuCuCu--:------Cu","true","false","true","false","false"
"CuCuCu--:CuCu----","true","true","false","false","false"
"CuCuCu--:--CuCu--","true","true","false","false","false"
"CuCuCu--:----CuCu","true","true","false","false","false"
"CuCuCu--:Cu----Cu","true","true","false","false","false"
"CuCuCu--:Cu--Cu--","true","true","false","false","false"
"CuCuCu--:--Cu--Cu","true","true","false","false","false"
"CuCuCu--:CuCuCu--","true","true","false","false","false"
"CuCuCu--:--CuCuCu","true","true","false","false","false"
"CuCuCu--:Cu--CuCu","true","true","false","false","false"
"CuCuCu--:CuCu--Cu","true","true","false","false","false"
"CuCuCu--:CuCuCuCu","true","true","false","false","false"
"--CuCuCu:Cu------","true","false","true","false","false"
"--CuCuCu:--Cu----","true","true","false","false","false"
"--CuCuCu:----Cu--","true","true","false","false","false"
"--CuCuCu:------Cu","true","true","false","false","false"
"--CuCuCu:CuCu----","true","true","false","false","false"
"--CuCuCu:--CuCu--","true","true","false","false","false"
"--CuCuCu:----CuCu","true","true","false","false","false"
"--CuCuCu:Cu----Cu","true","true","false","false","false"
"--CuCuCu:Cu--Cu--","true","true","false","false","false"
"--CuCuCu:--Cu--Cu","true","true","false","false","false"
"--CuCuCu:CuCuCu--","true","true","false","false","false"
"--CuCuCu:--CuCuCu","true","true","false","false","false"
"--CuCuCu:Cu--CuCu","true","true","false","false","false"
"--CuCuCu:CuCu--Cu","true","true","false","false","false"
"--CuCuCu:CuCuCuCu","true","true","false","false","false"
"Cu--CuCu:Cu------","true","true","false","false","false"
"Cu--CuCu:--Cu----","true","false","true","false","false"
"Cu--CuCu:----Cu--","true","true","false","false","false"
"Cu--CuCu:------Cu","true","true","false","false","false"
"Cu--CuCu:CuCu----","true","true","false","false","false"
"Cu--CuCu:--CuCu--","true","true","false","false","false"
"Cu--CuCu:----CuCu","true","true","false","false","false"
"Cu--CuCu:Cu----Cu","true","true","false","false","false"
"Cu--CuCu:Cu--Cu--","true","true","false","false","false"
"Cu--CuCu:--Cu--Cu","true","true","false","false","false"
"Cu--CuCu:CuCuCu--","true","true","false","false","false"
"Cu--CuCu:--CuCuCu","true","true","false","false","false"
"Cu--CuCu:Cu--CuCu","true","true","false","false","false"
"Cu--CuCu:CuCu--Cu","true","true","false","false","false"
"Cu--CuCu:CuCuCuCu","true","true","false","false","false"
"CuCu--Cu:Cu------","true","true","false","false","false"
"CuCu--Cu:--Cu----","true","true","false","false","false"
"CuCu--Cu:----Cu--","true","false","true","false","false"
"CuCu--Cu:------Cu","true","true","false","false","false"
"CuCu--Cu:CuCu----","true","true","false","false","false"
"CuCu--Cu:--CuCu--","true","true","false","false","false"
"CuCu--Cu:----CuCu","true","true","false","false","false"
"CuCu--Cu:Cu----Cu","true","true","false","false","false"
"CuCu--Cu:Cu--Cu--","true","true","false","false","false"
"CuCu--Cu:--Cu--Cu","true","true","false","false","false"
"CuCu--Cu:CuCuCu--","true","true","false","false","false"
"CuCu--Cu:--CuCuCu","true","true","false","false","false"
"CuCu--Cu:Cu--CuCu","true","true","false","false","false"
"CuCu--Cu:CuCu--Cu","true","true","false","false","false"
"CuCu--Cu:CuCuCuCu","true","true","false","false","false"
"CuCuCuCu:Cu------","true","true","false","false","false"
"CuCuCuCu:--Cu----","true","true","false","false","false"
"CuCuCuCu:----Cu--","true","true","false","false","false"
"CuCuCuCu:------Cu","true","true","false","false","false"
"CuCuCuCu:CuCu----","true","true","false","false","false"
"CuCuCuCu:--CuCu--","true","true","false","false","false"
"CuCuCuCu:----CuCu","true","true","false","false","false"
"CuCuCuCu:Cu----Cu","true","true","false","false","false"
"CuCuCuCu:Cu--Cu--","true","true","false","false","false"
